Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2026-01-02,BOSCHLTD,CE,38000,2026-01-27th,0,0.00,1875.00,20000,20000,"Taken @ 13 Feb 2026, 4:12 PM",2
2026-01-01,ITC,PE,380,2026-01-27th,0,0.00,18.15,19200,19200,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-31,HINDPETRO,CE,480,2026-01-27th,0,0.00,28.10,33311,33311,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-29,HINDALCO,PE,870,2026-01-27th,0,0.00,25.70,18305,18305,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-26,RVNL,CE,370,2025-12-30th,0,0.00,20.30,31625,31625,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-24,IIFL,CE,580,2025-12-30th,0,0.00,22.75,20625,20625,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-23,RECLTD,CE,345,2025-12-30th,0,0.00,10.20,21293,21293,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-22,MCX,CE,10500,2025-12-30th,0,0.00,366.00,20250,20250,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-19,HDFCAMC,PE,2700,2025-12-30th,0,0.00,50.80,18750,18750,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-18,POLICYBZR,CE,1800,2025-12-30th,0,0.00,61.10,17727,17727,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-12,GMRAIRPORT,CE,102,2025-12-30th,0,0.00,3.74,18484,18484,"Taken @ 13 Feb 2026, 4:12 PM",2
2025-12-10,ICICIPRULI,CE,630,2025-12-30th,0,0.00,21.95,19887,19887,"Taken @ 13 Feb 2026, 4:12 PM",2
