Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2026-02-11,LT,PE,2150,2026-02-27th,0,0.00,141.90,16830,16830,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-10,LT,PE,1120,2026-02-27th,0,0.00,58.55,15619,15619,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-07,LT,CE,3150,2026-02-27th,0,0.00,146.25,16250,16250,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-06,LT,PE,730,2026-02-27th,0,0.00,48.75,18375,18375,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-05,LT,PE,2450,2026-02-27th,0,0.00,183.10,12240,12240,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-04,LT,CE,11100,2026-02-27th,0,0.00,562.60,11143,11143,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-02-03,LT,CE,720,2026-02-27th,0,0.00,74.40,16055,16055,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-30,LT,PE,2950,2026-02-27th,0,0.00,142.85,8525,8525,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-29,LT,CE,3600,2026-02-27th,0,0.00,275.50,15050,15050,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-28,LT,CE,2700,2026-02-27th,0,0.00,117.00,10500,10500,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-27,LAURUSLABS,PE,590,2026-01-30th,0,0.00,58.40,25500,25500,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-24,LT,CE,2700,2026-01-30th,0,0.00,318.20,11495,11495,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-23,LT,CE,550,2026-01-30th,0,0.00,12.15,-1050,-1050,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-21,LT,PE,4500,2026-01-30th,0,0.00,302.95,10888,10888,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-20,LT,PE,830,2026-01-30th,0,0.00,40.05,13300,13300,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-17,POLICYBZR,PE,1800,2026-01-30th,0,0.00,104.50,17842,17842,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-16,DRREDDY,PE,1340,2026-01-30th,0,0.00,55.05,11406,11406,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-15,HDFCAMC,CE,3850,2026-01-30th,0,0.00,231.00,11250,11250,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-14,LT,CE,2260,2026-01-30th,0,0.00,171.00,18600,18600,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-13,LT,PE,3600,2026-01-30th,0,0.00,216.10,14200,14200,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-10,LT,PE,4600,2026-01-30th,0,0.00,182.10,10500,10500,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-09,LT,CE,640,2026-01-30th,0,0.00,33.90,10380,10380,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-08,LUPIN,PE,2320,2026-01-30th,0,0.00,87.10,19848,19848,"Taken @ 13 Feb 2026, 4:12 PM",10
2026-01-07,LT,PE,260,2026-01-30th,0,0.00,14.20,-1200,-1200,"Taken @ 13 Feb 2026, 4:12 PM",10
