Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2026-02-13,ADANIGREEN,PE,960,2026-02-24th,0,0.00,31.80,16410,16410,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-12,KPITTECH,PE,920,2026-02-24th,0,0.00,46.50,15725,15725,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-11,LAURUSLABS,CE,1000,2026-02-24th,0,0.00,33.15,18785,18785,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-09,CROMPTON,CE,250,2026-02-24th,0,0.00,15.04,20700,20700,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-06,ITC,CE,320,2026-02-24th,0,0.00,8.95,17600,17600,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-05,TIINDIA,PE,2500,2026-02-24th,0,0.00,166.15,34300,34300,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-04,ETERNAL,CE,290,2026-02-24th,0,0.00,11.65,20976,20976,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-03,TIINDIA,CE,2460,2026-02-24th,0,0.00,118.90,16000,16000,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-02-02,GLENMARK,PE,1900,2026-02-24th,0,0.00,41.45,18750,18750,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-30,HINDZINC,PE,660,2026-02-24th,0,0.00,54.55,18987,18987,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-28,SOLARINDS,CE,13500,2026-02-24th,0,0.00,900.95,17445,17445,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-23,PAYTM,PE,1260,2026-01-27th,0,0.00,115.80,12506,12506,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-22,NAUKRI,PE,1300,2026-01-27th,0,0.00,7.65,17213,17213,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-21,KALYANKJIL,PE,420,2026-01-27th,0,0.00,24.90,17390,17390,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-20,PRESTIGE,PE,1440,2026-01-27th,0,0.00,37.25,17325,17325,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-19,GODREJPROP,PE,1820,2026-01-27th,0,0.00,53.20,15950,15950,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-16,FEDERALBNK,CE,260,2026-01-27th,0,0.00,13.20,27000,27000,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-14,AXISBANK,CE,1280,2026-01-27th,0,0.00,32.95,18437,18437,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-13,DIXON,PE,11500,2026-01-27th,0,0.00,512.95,27500,27500,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-12,CUMMINSIND,PE,4000,2026-01-27th,0,0.00,91.90,15380,15380,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-08,ICICIGI,PE,1900,2026-01-27th,0,0.00,38.00,15974,15974,"Taken @ 13 Feb 2026, 4:12 PM",1
2026-01-05,OIL,PE,420,2026-01-27th,0,0.00,9.00,-2100,-2100,"Taken @ 13 Feb 2026, 4:12 PM",1
