Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2026-01-06,ADANIENSOL,PE,800,2026-01-30th,0,0.00,53.40,14156,14156,"Taken @ 13 Feb 2026, 4:12 PM",11
2026-01-03,LT,CE,460,2026-01-30th,0,0.00,29.60,12685,12685,"Taken @ 13 Feb 2026, 4:12 PM",11
2026-01-02,EICHERMOT,CE,4900,2026-01-30th,0,0.00,451.35,18550,18550,"Taken @ 13 Feb 2026, 4:12 PM",11
2026-01-01,MARUTI,CE,10800,2026-01-30th,0,0.00,534.60,8200,8200,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-31,LT,CE,1540,2026-01-30th,0,0.00,85.00,6475,6475,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-26,LT,PE,1360,2026-01-30th,0,0.00,58.00,14632,14632,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-24,LT,CE,4400,2026-01-30th,0,0.00,302.05,12375,12375,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-23,KPITTECH,PE,1480,2025-12-26th,0,0.00,60.30,12260,12260,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-20,LT,PE,3100,2025-12-26th,0,0.00,148.65,12540,12540,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-19,LT,CE,1520,2025-12-26th,0,0.00,79.90,21320,21320,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-18,LT,PE,1220,2025-12-26th,0,0.00,71.45,10875,10875,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-17,LT,PE,3200,2025-12-26th,0,0.00,229.80,5925,5925,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-13,GLENMARK,PE,1540,2025-12-26th,0,0.00,44.85,12325,12325,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-12,LT,PE,7400,2025-12-26th,0,0.00,225.00,11905,11905,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-11,LT,CE,1920,2025-12-26th,0,0.00,72.50,16885,16885,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-10,ADANIGREEN,PE,1220,2025-12-26th,0,0.00,90.70,-1181,-1181,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-06,LT,PE,5600,2025-12-26th,0,0.00,155.05,13250,13250,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-05,LT,CE,1720,2025-12-26th,0,0.00,162.90,14455,14455,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-04,LT,CE,1320,2025-12-26th,0,0.00,90.90,12060,12060,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-03,LT,CE,6800,2025-12-26th,0,0.00,450.00,13215,13215,"Taken @ 13 Feb 2026, 4:12 PM",11
2025-12-02,LT,CE,4300,2025-12-26th,0,0.00,264.15,9369,9369,"Taken @ 13 Feb 2026, 4:12 PM",11
